Use Case,LTE/5g Category,Technology Supported,Day,Time,GBR,Packet Loss Rate,Packet Delay,Slice Type
AR/VR/Gaming,16,LTE/5G,thrusday,0,Non-GBR,0.001,50,eMBB
Industry 4.0,18,"IoT(LTE-M, NB-IoT)",saturday,22,Non-GBR,1e-06,10,URLLC
Smartphone,18,LTE/5G,wednesday,20,Non-GBR,0.01,100,eMBB
Smartphone,16,LTE/5G,saturday,10,GBR,1e-06,300,eMBB
Smartphone,7,LTE/5G,monday,7,GBR,1e-06,60,eMBB
AR/VR/Gaming,2,LTE/5G,sunday,14,GBR,0.001,100,eMBB
IoT Devices,7,"IoT(LTE-M, NB-IoT)",monday,12,GBR,0.01,300,mMTC
Smartphone,3,LTE/5G,friday,19,Non-GBR,0.01,100,eMBB
Smartphone,9,LTE/5G,saturday,16,GBR,0.001,100,eMBB
Industry 4.0,6,"IoT(LTE-M, NB-IoT)",friday,16,Non-GBR,1e-06,10,URLLC
Smart City & Home,17,"IoT(LTE-M, NB-IoT)",monday,7,Non-GBR,0.01,50,mMTC
AR/VR/Gaming,14,LTE/5G,friday,18,Non-GBR,0.001,50,eMBB
Smartphone,6,LTE/5G,saturday,16,GBR,1e-06,300,eMBB
Smart City & Home,20,"IoT(LTE-M, NB-IoT)",sunday,15,Non-GBR,0.01,50,mMTC
Smart Transportation,10,"IoT(LTE-M, NB-IoT)",tuesday,21,Non-GBR,1e-06,10,URLLC
Smart City & Home,20,"IoT(LTE-M, NB-IoT)",wednesday,17,Non-GBR,0.01,50,mMTC
IoT Devices,17,"IoT(LTE-M, NB-IoT)",friday,4,GBR,0.01,300,mMTC
Smartphone,8,LTE/5G,wednesday,5,GBR,1e-06,100,eMBB
Smartphone,12,LTE/5G,sunday,21,GBR,1e-06,60,eMBB
Smartphone,9,LTE/5G,tuesday,18,Non-GBR,0.01,100,eMBB
AR/VR/Gaming,4,LTE/5G,tuesday,5,GBR,0.001,100,eMBB
Smartphone,8,LTE/5G,tuesday,17,GBR,1e-06,100,eMBB
IoT Devices,2,"IoT(LTE-M, NB-IoT)",wednesday,14,GBR,0.01,300,mMTC
Industry 4.0,19,"IoT(LTE-M, NB-IoT)",friday,22,GBR,0.001,50,mMTC
Smart Transportation,22,"IoT(LTE-M, NB-IoT)",friday,23,Non-GBR,1e-06,10,URLLC
